stijlvol	стильний
bedreven	вправний
de gezondheidszorg	охорона здоров'я
aarzelen	вагатися
onaardig	недобрий, неприязний
erven	успадковувати
bedelen	жебракувати
de verdediger	захисник
pervers	збочений
bereikbaar	досяжний, доступний
de kuil	яма
het onderscheid	відмінність
de bushalte	автобусна зупинка
benoemen	призначати, називати
schenden	порушувати, паплюжити
toezien	наглядати, стежити
opeisen	вимагати, брати на себе (відповідальність)
onacceptabel	неприйнятний
oplopen	дістати, зазнати
verwarren	плутати
het vooruitzicht	перспектива
gewoonweg	просто-таки
sarcastisch	саркастичний
de amazone	вершниця
verzwijgen	замовчувати
spannen	натягувати
meren	швартувати
onopvallend	непомітний
magnetisch	магнітний
de schipper	шкіпер, капітан
de landbouw	сільське господарство
indrukken	натискати, вдавлювати
het kruispunt	перехрестя
bijkomen	приходити до тями
het cement	цемент
kortom	коротше кажучи
strafbaar	караний
geneigd	схильний
visueel	візуальний
irrelevant	недоречний, неістотний
hoesten	кашляти
wegdoen	позбуватися, прибирати
ongezien	небачений, непомічений
autorijden	керувати автомобілем
combineren	поєднувати
strikken	зав'язувати
psychisch	психічний
tikken	цокати, стукати
vervalsen	підробляти
het buskruit	порох
de nevel	туман, серпанок
de financiering	фінансування
telefoneren	телефонувати
bespelen	грати (на інструменті)
het gazon	газон
merkwaardig	дивний, примітний
verzenden	надсилати, відправляти
de verwoesting	спустошення, руйнування
ongesteld	той, що має місячні; нездужає
de kinderkamer	дитяча кімната
de cafetaria	кафетерій
gassen	газувати, тиснути на газ
de binnenstad	центр міста
stapelgek	геть божевільний
de toonbank	прилавок
eeuwenlang	століттями
ietsje	трішки
zinvol	доцільний, осмислений
oplichten	спалахувати; ошукувати
thuisbrengen	відводити додому
de capaciteit	місткість, потужність
neerstorten	падати, розбиватися
het privéleven	приватне життя
vijandelijk	ворожий
forceren	форсувати, зламувати силою
hoogstens	щонайбільше
het onweer	гроза
de koek	пиріг, печиво
eigenwijs	упертий, самовпевнений
voldaan	задоволений; сплачений
niettemin	проте, а втім
de schoonzus	зовиця, невістка
omkomen	гинути
aanleggen	прокладати, облаштовувати
ontmantelen	демонтувати, розбирати
de tiran	тиран
sprakeloos	онімілий, безмовний
spiritueel	духовний
opstarten	запускати
knipperen	блимати, кліпати
de kleermaker	кравець
de wekker	будильник
doorsnijden	розрізати
rubberen	гумовий
opsturen	надсилати
erkend	визнаний
reiken	сягати, простягатися
het fornuis	плита (кухонна)
kwellen	мучити, катувати
het rek	стелаж, полиця
luidruchtig	галасливий
noordwaarts	на північ
spotten	глузувати
wegrijden	від'їжджати
gevat	дотепний
verzachten	пом'якшувати
slank	стрункий
onweerstaanbaar	чарівний, неперевершений
de bovenkant	верх
de buitenlander	іноземець
slaperig	сонний
wijlen	покійний
godvergeten	забутий богом
de drempel	поріг
vergelijkbaar	порівнянний
goor	бридкий, брудний
rondleiden	проводити екскурсію
afvallen	відпадати; худнути
verhuren	здавати в оренду
doorgedraaid	з'їхавший з глузду
masseren	масажувати
stimuleren	стимулювати
luchten	провітрювати
overwerken	працювати понаднормово
de schepping	творіння
de zondaar	грішник
de beek	струмок
de ventilator	вентилятор
registreren	реєструвати
de juwelier	ювелір
irriteren	дратувати
het verbod	заборона
verknoeien	зіпсувати, занапастити
de lantaarn	ліхтар
uitsterven	вимирати
zuidelijk	південний
inspecteren	оглядати, інспектувати
kondigen	сповіщати
rommelig	неохайний, безладний
klussen	підробляти, майструвати
sportief	спортивний
doodmoe	смертельно втомлений
zeiken	мрячити; занудствувати
uitsluitend	виключно
de mascotte	талісман
toetsen	перевіряти, випробовувати
afschrikken	відлякувати
leunen	спиратися, притулятися
ongevaarlijk	безпечний
schadelijk	шкідливий
de consul	консул
tolereren	терпіти, толерувати
overdoen	переробляти
zittend	сидячий
reanimeren	реанімувати
twaalfde	дванадцятий
helderziend	ясновидний
onverantwoordelijk	безвідповідальний
inspireren	надихати
traditioneel	традиційний
de heerschappij	панування, владарювання
verlengen	продовжувати, подовжувати
bedragen	становити (суму)
binnenlopen	заходити
gaar	зварений, готовий
de sauna	сауна
inschakelen	вмикати, залучати
ietwat	дещо
de uitvinder	винахідник
liefdevol	люблячий, ніжний
herhaaldelijk	неодноразово
witwassen	відмивати (гроші)
onvolwassen	незрілий
opdringen	нав'язувати
de magistraat	магістрат, суддя
het organisme	організм
rapen	збирати, підбирати
de vlakte	рівнина
onbereikbaar	недосяжний
onaanvaardbaar	неприйнятний
de droger	сушарка
stipt	пунктуальний, точний
doodop	зовсім знесилений
genereus	щедрий, великодушний
beven	тремтіти
slingeren	хитати, розгойдувати
de pinguïn	пінгвін
teleurstellend	розчаровуючий
digitaal	цифровий
tactisch	тактичний
raadplegen	консультуватися, звірятися
humeurig	примхливий, у поганому настрої
het telefoonboek	телефонний довідник
ginds	он там
jaarlijks	щорічний
de meisjesnaam	дівоче прізвище
doordringen	проникати
verhullen	приховувати, огортати
opmerken	помічати, зауважувати
zogezegd	так би мовити
infrarood	інфрачервоний
vrijgeven	оприлюднювати, звільняти
klaarkomen	досягати оргазму
bloeien	квітнути, процвітати
dikwijls	часто
bedwingen	стримувати, приборкувати
geleidelijk	поступовий
de finish	фініш
buitenlands	закордонний
achterkomen	дізнаватися, з'ясовувати
mank	кульгавий
rommelen	гуркотіти; порпатися
amusant	кумедний, розважальний
gekwalificeerd	кваліфікований
ompraten	умовляти, переконувати
nietig	мізерний; недійсний
de vrucht	плід
de halsketting	намисто
aanbrengen	установлювати, наносити
vrijkomen	звільнятися
compenseren	компенсувати
blijvend	тривалий, постійний
het sollicitatiegesprek	співбесіда
bekrompen	вузьколобий
de zeemeermin	русалка
de tractor	трактор
de ijsberg	айсберг
driemaal	тричі
de vergaderzaal	конференц-зала
verschonen	перевдягати, міняти (білизну)
de afvoer	стік, злив
doven	гасити
authentiek	автентичний
onervaren	недосвідчений
zoveelste	котрий уже, черговий
onopgemerkt	непомічений
onderschatten	недооцінювати
blussen	гасити (вогонь)
uitwerken	опрацьовувати, розробляти
haken	чіплятися, зачіпати
concurreren	конкурувати
uitverkoren	обраний
de dictator	диктатор
promoten	просувати, рекламувати
reserveren	бронювати
de kameel	верблюд
de nadruk	наголос, акцент
het pension	пансіон
de afgevaardigde	делегат, депутат
zakendoen	вести справи
de pracht	пишнота, розкіш
kreupel	кульгавий, каліка
gelijken	бути схожим
afstaan	поступатися, віддавати
het mengsel	суміш
bluffen	блефувати
dolblij	нестямно радий
ontroerd	зворушений
het echtpaar	подружжя
wekenlang	тижнями
behoeden	оберігати
noordelijk	північний
doorgronden	осягати, розгадувати
de gemeenteraad	міська рада
de lunchtijd	обідня перерва
dwalen	блукати
de overstroming	повінь
gevoelloos	безчутливий, заціпенілий
opheffen	піднімати; скасовувати
onveilig	небезпечний
overtreffen	перевершувати
vlooien	виловлювати бліх
het schoolhoofd	директор школи
schaars	мізерний, рідкісний
masturberen	мастурбувати
de eenhoorn	єдиноріг
citeren	цитувати
heroverwegen	переглядати рішення
de omslag	обкладинка; переворот
demonstreren	демонструвати
afzien	відмовлятися, зрікатися
overnieuw	наново
onterecht	несправедливий, безпідставний
wijden	присвячувати
putten	черпати
de tomaat	помідор
de ouderdom	старість, вік
nucleair	ядерний
handmatig	ручний
smal	вузький
afwerken	доробляти, завершувати
de kathedraal	собор
de installatie	установка, монтаж
vrijgevig	щедрий
opvatten	сприймати, тлумачити
toedienen	уводити (ліки)
bevredigen	задовольняти
telefonisch	телефоном
de arbeider	робітник
mild	м'який, лагідний
beschikken	розпоряджатися
weerzien	побачитися знову
het handvat	ручка, руків'я
de melodie	мелодія
de stoofpot	тушкована страва
spioneren	шпигувати
de interpretatie	тлумачення
de koppeling	зчеплення
omleggen	перекладати; прикінчити
hanteren	застосовувати, орудувати
fulltime	на повну ставку
zielsveel	безмежно, усією душею
bijwonen	бути присутнім, відвідувати
de westkust	західне узбережжя
opbergen	прибирати, складати
verduren	витримувати, зносити
lollig	кумедний, потішний
de fysica	фізика
flexibel	гнучкий
gehandicapt	з інвалідністю
afhouden	стримувати, утримувати
dichtdoen	зачиняти
het kampvuur	багаття
nijdig	сердитий, лютий
beveiligen	захищати, убезпечувати
verbijsterd	приголомшений
radioactief	радіоактивний
acceptabel	прийнятний
doodeng	страшенно моторошний
voortreffelijk	чудовий, добірний
binnenhalen	заносити, здобувати
rampzalig	згубний, катастрофічний
respectloos	неповажний
vergezocht	надуманий
mega	мега, величезний
gedetailleerd	детальний
onwetend	необізнаний, невіглас
de wasserette	пральня самообслуговування
desondanks	попри це
de stofzuiger	пилосос
het avondmaal	вечеря
aanvankelijk	спершу, спочатку
wenden	повертати, звертатися
de kade	набережна, причал
voorleggen	подавати на розгляд
trotseren	кидати виклик, витримувати
de notaris	нотаріус
het presidentschap	президентство
heropenen	відкривати знову
het gangpad	прохід
voorbarig	передчасний
afhakken	відрубувати
instabiel	нестабільний
inkopen	закуповувати
spijbelen	прогулювати школу
gemeenschappelijk	спільний
geavanceerd	передовий, просунутий
piekeren	журитися, сушити голову
volbrengen	звершувати, доводити до кінця
vatbaar	сприйнятливий, вразливий
misgaan	іти не так
uitermate	надзвичайно
de oppositie	опозиція
het koord	шнур, канат
uitwisselen	обмінюватися
de asbak	попільничка
haastig	поспішний
plechtig	урочистий
samenstellen	складати, компонувати
de eetzaal	їдальня (зала)
onmisbaar	незамінний
verteren	перетравлювати
het meubilair	меблі
de omheining	огорожа
weerzinwekkend	огидний, відразливий
onbetaalbaar	недоступний за ціною
sympathiek	симпатичний, приємний
terechtkomen	опинятися, приземлятися
corrigeren	виправляти
terughoudend	стриманий
benutten	використовувати, послуговуватися
vervagen	розмиватися, тьмяніти
ziekelijk	хворобливий
de uitbreiding	розширення
de bankoverval	пограбування банку
het gemeentehuis	мерія
schroeven	угвинчувати
tegenspreken	суперечити, заперечувати
opwekken	збуджувати, виробляти
harteloos	безсердечний
doorwerken	працювати далі
de gebruiker	користувач
tussenbeide	поміж, утручаючись
instemmen	погоджуватися
ineen	докупи, разом
patrouilleren	патрулювати
het oerwoud	пралісі, джунглі
flauwvallen	знепритомніти
herladen	перезаряджати
afschieten	застрелити
de mayonaise	майонез
sceptisch	скептичний
gloednieuw	новісінький
aanvoelen	відчувати, вгадувати
de filosoof	філософ
zwerven	блукати, поневірятися
het proefwerk	контрольна робота
betoverend	чарівний, заворожливий
pronken	хизуватися, красуватися
zonnen	засмагати
de havik	яструб
onderwijzen	навчати
kammen	розчісувати
onvindbaar	невідшукуваний
bezetten	займати, окупувати
shoppen	ходити по магазинах
strategisch	стратегічний
onbruikbaar	непридатний
benadrukken	підкреслювати, наголошувати
snuiven	нюхати, шморгати
nadoen	наслідувати, копіювати
aannemelijk	правдоподібний
excellent	відмінний
psychiatrisch	психіатричний
exotisch	екзотичний
louter	суто, самий лише
zegevieren	тріумфувати
werven	вербувати, набирати
het alfabet	абетка
commanderen	командувати
piepen	пищати, скрипіти
vindingrijk	винахідливий
solliciteren	подавати заявку на роботу
de sneeuwstorm	хуртовина
de onderdrukking	гноблення
uitzitten	відсидіти (термін)
fokken	розводити (тварин)
claimen	заявляти права, вимагати
drastisch	радикальний, різкий
regelrecht	прямісінько, відверто
ijdel	марнославний, пустий
bloederig	кривавий
inladen	завантажувати
voordien	до того
unaniem	одностайний
het perron	перон
ontruimen	звільняти, евакуювати
vergaderen	засідати, збиратися
verjagen	проганяти
de rechtsgang	судовий процес
kraaien	кукурікати
invoeren	запроваджувати; вводити
de trompet	труба (інструмент)
betreuren	шкодувати, оплакувати
eruitzien	виглядати
waarnemen	сприймати, спостерігати
onwettig	незаконний
inzoomen	наближати (зображення)
achterstevoren	задом наперед
keuren	перевіряти, оцінювати
aanmelden	реєструватися, заявляти
vruchtbaar	родючий, плідний
legendarisch	легендарний
de zoo	зоопарк
de boeman	бабай, страховисько
zwart-wit	чорно-білий
herrijzen	воскресати, відроджуватися
kansloos	безнадійний
tippen	давати підказку
ongemerkt	непомітно
het kader	рамка; кадри
achterhaald	застарілий
het busstation	автовокзал
krimpen	стискатися, збігатися
mediteren	медитувати
bovenal	понад усе
de tsunami	цунамі
de huisarts	сімейний лікар
mijden	уникати
picknicken	влаштовувати пікнік
veronderstellen	припускати
afbranden	згоряти дощенту
elektronisch	електронний
mikken	цілитися
nice	класний, приємний
