morgenvroeg	завтра вранці
beschuldigen	звинувачувати
succesvol	успішний
heksen	чаклувати
het politiebureau	відділок поліції
beroven	грабувати
de schaal	шкала; шкаралупа; миска
verschijnen	з'являтися
de schok	шок, удар
zeldzaam	рідкісний
smeken	благати
de put	колодязь, яма
bijeen	разом, укупі
besparen	заощаджувати
naaien	шити
zowat	майже, приблизно
de zwaartekracht	сила тяжіння
vanwaar	звідки
de helm	шолом
de regent	регент
riskant	ризикований
inzetten	задіювати, вставляти
de opstand	повстання
zinloos	безглуздий
fysiek	фізичний
de actrice	акторка
de jager	мисливець
aanklagen	позиватися, звинувачувати
nutteloos	марний
onzichtbaar	невидимий
de echo	відлуння
beseffen	усвідомлювати
charmant	чарівний
verslaafd	залежний (від чогось)
de voorkeur	перевага, вподобання
noodzakelijk	необхідний
de tovenaar	чарівник
prijzen	хвалити
ontwikkelen	розвивати
praktisch	практичний
het circus	цирк
het ongeval	нещасний випадок
teruggeven	повертати
checken	перевіряти
klaarmaken	готувати
het leed	горе, страждання
dagelijks	щоденний
mislukt	невдалий, провалений
daarnet	щойно
opwindend	захопливий
de medicatie	лікування, медикаменти
intelligent	розумний
het koper	мідь
de tegenstander	супротивник
de satelliet	супутник
afnemen	зменшуватися; забирати
de uitleg	пояснення
de kofferbak	багажник
fascinerend	захопливий
de service	обслуговування
schilderen	малювати, фарбувати
kruipen	повзати
het tempo	темп
depressief	пригнічений
het product	продукт
aanpassen	пристосовувати, налаштовувати
paranoïde	параноїдальний
ongetwijfeld	безсумнівно
de bestemming	призначення, пункт призначення
gewelddadig	жорстокий, насильницький
het winkelcentrum	торговий центр
sparen	берегти; заощаджувати
de tandarts	стоматолог
de menigte	натовп
de baard	борода
de oppas	няня
de ceremonie	церемонія
bakken	пекти, смажити
vrijwel	майже
het vergif	отрута
tegelijkertijd	одночасно
beschrijven	описувати
de grootte	розмір
de pijp	труба; люлька
oprecht	щирий
verzekeren	запевняти; страхувати
alvast	уже, наперед
de pil	пігулка
oppassen	стерегтися; доглядати
egoïstisch	егоїстичний
uitnodigen	запрошувати
uitstappen	виходити (з транспорту)
dadelijk	зараз, негайно
noord	північ
de naald	голка
de pan	каструля, сковорода
heilig	святий
het wachtwoord	пароль
beperkt	обмежений
de hamer	молоток
bewaken	охороняти
de leeuw	лев
wisselen	міняти, обмінювати
jarenlang	багаторічний
zeuren	нити, скиглити
rondlopen	ходити навколо
gênant	ніяковий, незручний
reeds	уже
communiceren	спілкуватися
koppig	упертий
de deken	ковдра
de natie	нація
nakijken	перевіряти
verbazingwekkend	дивовижний
de atmosfeer	атмосфера
twijfelen	сумніватися
het examen	іспит
aantrekken	притягувати; надягати
de kalkoen	індик
de elektriciteit	електрика
de warmte	тепло
de kwaliteit	якість
de politieman	поліцейський
de tumor	пухлина
de appel	яблуко
de stam	стовбур; плем'я
afvragen	запитувати себе, дивуватися
de gitaar	гітара
terugbellen	передзвонити
kletsen	базікати
de trui	светр
organiseren	організовувати
zesde	шостий
de muis	миша
de haak	гак, гачок
de wijsheid	мудрість
het herstel	одужання, відновлення
het ticket	квиток
verzorgen	доглядати, піклуватися
het gedicht	вірш
inzien	усвідомлювати; переглядати
intussen	тим часом
de kleinzoon	онук
verzetten	пересувати; чинити опір
het buitenland	закордон
de oven	духовка, піч
de roos	троянда
grondig	ґрунтовний, ретельний
de bestuurder	водій
de vallei	долина
aanvaarden	приймати
het heden	сьогодення
achtervolgen	переслідувати
de weddenschap	парі, заклад
de receptie	рецепція; прийом
het menu	меню
de voorstelling	вистава, показ
de uitspraak	вимова; вирок
logeren	гостювати, ночувати
scheppen	створювати; черпати
specifiek	конкретний, специфічний
knopen	зав'язувати
de boter	масло
de belasting	навантаження; податок
de ontwikkeling	розвиток
de wandeling	прогулянка
de achterdeur	задні двері
de mode	мода
hecht	міцний, згуртований
het litteken	шрам
het tapijt	килим
de kunstenaar	митець, художник
blond	білявий
teleurstellen	розчаровувати
nader	ближчий, детальніший
gebieden	наказувати
de maatschappij	суспільство; компанія
opletten	бути уважним
beledigen	ображати
de cake	кекс
bestuderen	вивчати
het spook	привид
hierop	після цього
de ezel	осел
de diagnose	діагноз
spijtig	прикрий
de economie	економіка
weerstaan	протистояти
de finale	фінал
beweren	стверджувати
het raadsel	загадка
de beschaving	цивілізація
bedriegen	обманювати
het oranje	помаранчевий колір
de wijk	район
traag	повільний
de eeuwigheid	вічність
de woonkamer	вітальня
bereiden	готувати
de vreemdeling	чужинець, іноземець
de serveerster	офіціантка
omkleden	переодягатися
de haai	акула
ademhalen	дихати
de zakenman	бізнесмен
daten	зустрічатися, ходити на побачення
kwijtraken	загубити, позбутися
de lengte	довжина
het ontwerp	проєкт, ескіз
betrekken	залучати
ongewoon	незвичайний
elders	деінде
duister	темний, похмурий
zilveren	срібний
de handdoek	рушник
de expres	експрес
de luchthaven	аеропорт
de lerares	учителька
origineel	оригінальний
de dosis	доза
machtig	могутній
voegen	додавати, вставляти
de inhoud	вміст, зміст
het ego	его
waardevol	цінний
de voorkant	передня сторона
hopeloos	безнадійний
het avondeten	вечеря
het blad	листок; аркуш
de eed	присяга
afzetten	знімати; висаджувати
verlopen	минати; спливати
linker	лівий
vertrouwd	знайомий, звичний
het dieet	дієта
de bliksem	блискавка
de knoop	ґудзик; вузол
wissen	стирати
de supermarkt	супермаркет
de ploeg	плуг; команда
de samenzwering	змова
kappen	рубати; припинити
instappen	сідати (у транспорт)
de activiteit	діяльність
het zilver	срібло
de doodstraf	смертна кара
het principe	принцип
de cd	компакт-диск
de samenwerking	співпраця
de microfoon	мікрофон
het sperma	сперма
oneerlijk	нечесний
de zonsondergang	захід сонця
afwachten	чекати, вичікувати
de saus	соус
de campus	кампус
de olifant	слон
grof	грубий
bevatten	містити
de munt	монета; м'ята
blut	без грошей, на мілині
agressief	агресивний
rondhangen	вештатися
vrezen	боятися
het hemd	сорочка
vrijuit	вільно, відверто
het tegenovergestelde	протилежність
de kroeg	пивна, шинок
de puppy	цуценя
de tand	зуб
vaag	нечіткий, туманний
kraken	тріщати; зламувати
comfortabel	зручний, комфортний
overhoop	догори дриґом
het gezag	влада, авторитет
naderen	наближатися
de ladder	драбина
allergisch	алергічний
zakelijk	діловий, по суті
uitkijken	видивлятися; стерегтися
verbannen	виганяти, засилати
aangepast	пристосований
het voorwerp	предмет, об'єкт
de ontdekking	відкриття
het document	документ
oordelen	судити, оцінювати
zweren	клястися; гноїтися
de opera	опера
bukken	нахилятися
het parfum	парфуми
begeleiden	супроводжувати
absurd	абсурдний
verbinden	з'єднувати
het dozijn	дюжина
parkeren	паркувати
tegemoet	назустріч
de intelligentie	інтелект
kleden	одягати
heftig	бурхливий, інтенсивний
de gastheer	господар (приймає гостей)
ontvoeren	викрадати (людину)
de plank	дошка; полиця
dun	тонкий
de boete	штраф
zuiver	чистий
forensisch	судово-медичний
slepen	тягнути, волочити
stijgen	підійматися, зростати
de krijger	воїн
het magazijn	склад
buitengewoon	надзвичайний
uitgeven	витрачати; видавати
andersom	навпаки
sociaal	соціальний
ouderwets	старомодний
bezitten	володіти
meemaken	переживати, брати участь
de kabel	кабель
scoren	забивати, набирати очки
beïnvloeden	впливати
de overtreding	порушення
bescheiden	скромний
de artiest	артист
de vernietiging	знищення
voorlezen	читати вголос
bizar	дивний, химерний
de brandweer	пожежна служба
het tijdperk	епоха
overhalen	умовляти, схиляти
zuid	південь
besturen	керувати
de sessie	сесія, сеанс
de spuit	шприц
het ruimteschip	космічний корабель
de zonsopgang	схід сонця
de rijkdom	багатство
overtreden	порушувати (закон)
de samenleving	суспільство
veroordelen	засуджувати
betrouwbaar	надійний
de vlam	полум'я
de werknemer	працівник
tweemaal	двічі
de tekening	малюнок, креслення
het vervoer	транспорт, перевезення
uiterst	украй, найвищою мірою
de salade	салат
de stank	сморід
vermoedelijk	імовірний, імовірно
zinken	тонути
bestrijden	боротися проти
de gids	гід, довідник
menen	вважати, гадати
bezeten	одержимий
tragisch	трагічний
het gemiddelde	середнє значення
de eend	качка
de uitdrukking	вираз
anoniem	анонімний
martelen	катувати
gebonden	зв'язаний, обмежений
de site	сайт
verrassend	несподіваний
verschillen	відрізнятися
het diamant	діамант
de conclusie	висновок
de verbeelding	уява
de druppel	крапля
de armband	браслет
schatten	оцінювати
ironisch	іронічний
verdrinken	тонути, потонути
de bestelling	замовлення
de vuilnis	сміття
de betaling	платіж
voormalig	колишній
brutaal	зухвалий, нахабний
vooraf	заздалегідь
meewerken	співпрацювати
onthullen	розкривати, викривати
beoordelen	оцінювати
de wang	щока
het instituut	інститут
afleggen	долати (відстань); складати (іспит)
verschillend	різний
persen	пресувати, стискати
de persconferentie	пресконференція
de rijst	рис
ongepast	недоречний
wekken	будити
de regio	регіон
de beker	кубок, келих
verhogen	підвищувати
het budget	бюджет
de fraude	шахрайство
voornamelijk	переважно
ontbijten	снідати
de ober	офіціант
stikken	задихатися
buigen	згинати
verleiden	спокушати
het toneel	сцена
de kapper	перукар
het object	об'єкт
de geit	коза
smeren	мастити, змащувати
het plafond	стеля
gillen	верещати, кричати
voorwaarts	вперед
weggooien	викидати
joods	єврейський
de verwarring	плутанина, сум'яття
toekijken	спостерігати
magisch	магічний
toevoegen	додавати
de game	гра (відео)
onderbreken	перебивати, переривати
eren	шанувати
zuigen	смоктати
zichtbaar	видимий
knippen	стригти, вирізати
de room	вершки
duizelig	запаморочений
de methode	метод
de zitting	засідання
afleiden	відволікати; робити висновок
de kikker	жаба
afgaan	спрацьовувати; сходити
indienen	подавати (заяву)
intact	цілий, неушкоджений
irritant	дратівливий
het kerkhof	цвинтар
relevant	доречний, важливий
de sfeer	атмосфера, настрій
de term	термін
de lancering	запуск
houten	дерев'яний
verkennen	досліджувати, розвідувати
ongedeerd	неушкоджений
verwarrend	заплутаний
het moeras	болото
de werking	дія, робота
verbazen	дивувати
de ontvangst	прийом, зустріч
beleven	переживати, зазнавати
de pijl	стріла
scheren	голити
opgelucht	полегшений
bedreigen	погрожувати
de tussentijd	проміжок часу
uitzetten	вимикати; розширювати
de echtgenote	дружина
overduidelijk	цілком очевидний
de bediende	слуга, службовець
recent	недавній
het tijdschrift	журнал
de gordel	пояс, ремінь
voorspellen	передбачати
uitpraten	договорити
de senaat	сенат
ontkomen	уникнути, утекти
de bioscoop	кінотеатр
ondergaan	зазнавати, переживати
de verkoper	продавець
de fotograaf	фотограф
storten	висипати; вносити (гроші)
het gebed	молитва
de productie	виробництво
de vagina	вагіна
het geslacht	стать; рід
vlammen	палахкотіти
rechtop	прямо, вертикально
de democratie	демократія
werpen	кидати
tevoren	заздалегідь, раніше
onderuit	знизу, з-під
de voornaam	ім'я
de dierentuin	зоопарк
de worst	ковбаса
schaduwen	стежити, тінню ходити
