de adem	дихання
genezen	лікувати, одужувати
de begrafenis	похорон
het veld	поле
de straf	покарання
schattig	милий
het schot	постріл
jagen	полювати
tevreden	задоволений
de taart	торт
de flat	квартира
afmaken	закінчити, доробити
vriendelijk	привітний, доброзичливий
vluchten	тікати
de pers	преса; прес
het project	проєкт
het belang	інтерес, значення
lukken	вдаватися
de prinses	принцеса
het zwaard	меч
aandoen	вмикати; надягати
gedragen	поводитися
ernstig	серйозний
gezond	здоровий
arresteren	заарештувати
de tuin	сад, город
de vrijdag	п'ятниця
opstaan	вставати
de kunst	мистецтво
de minister	міністр
de coach	тренер
verboden	заборонений
de kelder	підвал
het gezelschap	товариство, компанія
bijvoorbeeld	наприклад
compleet	цілком, повністю
eng	моторошний, страшний
het toeval	випадковість
de melk	молоко
lui	лінивий
genieten	насолоджуватися
aannemen	приймати; припускати
uitstekend	чудовий, відмінний
lenen	позичати
de moed	мужність, сміливість
reizen	подорожувати
de gedachte	думка
roken	курити
de truck	вантажівка
gaaf	класний; цілий
tegenwoordig	нині, сучасний
de kwestie	питання, справа
opzij	убік
de omgeving	околиця, оточення
de kip	курка
vanochtend	сьогодні вранці
de kast	шафа
officieel	офіційний
het aanbod	пропозиція
menselijk	людський
het contract	контракт
flink	чималий, добрячий
het genoegen	задоволення
het internet	інтернет
de vloer	підлога
zwemmen	плавати
de borst	груди
schreeuwen	кричати
vasthouden	тримати
behandelen	лікувати; поводитися
de berg	гора
het noorden	північ
opgeven	здаватися; вказати
bepaald	певний
heus	справді
koken	варити, готувати
eenvoudig	простий
de tent	намет
de pauze	пауза, перерва
raden	вгадувати; радити
roepen	кликати, гукати
de bek	дзьоб; паща
vervangen	замінювати
het alarm	тривога, сигналізація
de interesse	інтерес
de kanker	рак (хвороба)
beslissen	вирішувати
het cadeau	подарунок
de kerst	Різдво
de invloed	вплив
het geheugen	пам'ять
het station	станція, вокзал
de vogel	птах
de verantwoordelijkheid	відповідальність
het diner	вечеря, обід
het besluit	рішення
vlug	швидкий
het verstand	розум
de bescherming	захист
de stilte	тиша
de bak	ящик, контейнер
het papier	папір
zojuist	щойно
vormen	формувати, утворювати
de storm	буря, шторм
de hoed	капелюх
de leugen	брехня
de ambulance	швидка допомога
beslist	безумовно, точно
de pizza	піца
ontdekken	відкривати, виявляти
de eenheid	єдність; одиниця
het verzoek	прохання, запит
overtuigen	переконувати
toegeven	визнавати; поступатися
de garage	гараж
de vrees	страх, побоювання
de big	порося
de kluis	сейф
de slaapkamer	спальня
het wit	білий колір
bezoeken	відвідувати
de politiek	політика
de mogelijkheid	можливість
vervelend	нудний, неприємний
rekenen	рахувати
de klap	удар, ляпас
aanbieden	пропонувати
de streek	регіон, місцевість
de zaterdag	субота
het zicht	вид, зір
de reactie	реакція
jazeker	так, звісно
het blauw	синій колір
de schoonheid	краса
de klus	робота, завдання
de verandering	зміна
accepteren	приймати
helen	зцілювати
aankomen	прибувати
verhuizen	переїжджати
de kust	узбережжя
het graf	могила
de dans	танець
de taal	мова
de aanklacht	обвинувачення
de overheid	влада, органи влади
lossen	розвантажувати
uiteraard	звісно, зрозуміло
gerust	спокійний, без тривоги
de manager	менеджер
verdedigen	захищати
het westen	захід
amper	ледве
de stal	хлів, стайня
het niveau	рівень
binnenkomen	заходити, входити
de poging	спроба
de stroom	потік; електрострум
de wetenschap	наука
momenteel	наразі
vals	фальшивий, підроблений
de keel	горло
gouden	золотий
achterlaten	залишати позаду
het voordeel	перевага
het geduld	терпіння
de eeuw	століття
gescheiden	розділений; розлучений
de snelheid	швидкість
de rotzooi	безлад, бардак
bidden	молитися
de natuur	природа
de buik	живіт
de vinger	палець
het virus	вірус
het personeel	персонал
het zuiden	південь
het stof	пил; тканина
de badkamer	ванна кімната
de zondag	неділя
erheen	туди
de smaak	смак
aanwezig	присутній
de leraar	учитель
de maandag	понеділок
de woede	лють, гнів
studeren	навчатися, вивчати
de kleding	одяг
eindigen	закінчувати(ся)
groeien	рости
de piloot	пілот
het verslag	звіт, репортаж
de heks	відьма
waarschuwen	попереджати
melden	повідомляти
de oceaan	океан
het gas	газ
voorlopig	тимчасовий, поки що
verdacht	підозрілий
privé	приватний
de koffer	валіза
de zonde	гріх
plegen	учиняти, скоювати
het excuus	виправдання, вибачення
dienen	служити
haten	ненавидіти
opgewonden	збуджений, схвильований
de boerderij	ферма
het bord	тарілка; табличка
herstellen	відновлювати, лагодити
morgenochtend	завтра вранці
de tong	язик
vanmiddag	сьогодні по обіді
verklaren	заявляти, пояснювати
tegelijk	водночас
de marine	військово-морський флот
de champagne	шампанське
de chauffeur	водій
wensen	бажати
eenzaam	самотній
het voorstel	пропозиція
de gouverneur	губернатор
graven	копати
het terrein	територія, ділянка
de ontmoeting	зустріч
zwijgen	мовчати
ademen	дихати
het horloge	годинник (наручний)
de ronde	раунд, коло
de pot	горщик, банка
het pensioen	пенсія
vrolijk	веселий
de poort	ворота
het artikel	стаття; товар
de overval	пограбування, напад
netjes	охайний, чепурний
aanraken	торкатися
de reputatie	репутація
het brood	хліб
verstoppen	ховати
de komst	прибуття
het voorbeeld	приклад
de geur	запах, аромат
de dichter	поет
het vliegveld	аеродром
de markt	ринок
het centrum	центр
ontzettend	жахливо, надзвичайно
de beer	ведмідь
minstens	щонайменше
het universum	всесвіт
de gezondheid	здоров'я
daarheen	туди
de wijze	спосіб
de kerstmis	Різдво
de haven	порт, гавань
de huur	оренда
de plicht	обов'язок
omgaan	спілкуватися; обходитися
het materiaal	матеріал
hartelijk	сердечний, щирий
online	онлайн
bevelen	наказувати
de priester	священник
kloppen	стукати; бути правильним
de kaas	сир
opzoeken	відвідати; шукати (у книзі)
schrikken	лякатися
het optreden	виступ
het beroep	професія
het motief	мотив
verderop	далі
de jacht	полювання
scheiden	розділяти; розлучатися
de jeugd	молодь, юність
de engel	ангел
de kerstman	Святий Миколай, Санта
de toestand	стан, ситуація
de technologie	технологія
lichten	піднімати
bovendien	крім того
bewaren	зберігати
teleurgesteld	розчарований
de vriendschap	дружба
de ramp	катастрофа, лихо
richten	спрямовувати, націлювати
steunen	підтримувати
de wolf	вовк
dwars	поперек, навскіс
oefenen	тренуватися, вправлятися
bevestigen	підтверджувати; закріплювати
wijzen	вказувати
het groen	зелений колір
het zwembad	басейн
het verdriet	смуток, горе
de winter	зима
het geheel	ціле, сукупність
de donder	грім
de koers	курс, напрямок
de bekende	знайомий (людина)
het wild	дичина
de regen	дощ
bepalen	визначати
berichten	повідомляти
samenwerken	співпрацювати
ruiken	нюхати, пахнути
de klok	годинник (настінний)
de gemeenschap	спільнота, громада
redelijk	розумний, доволі
getekend	позначений, підписаний
de overwinning	перемога
het onderwerp	тема, предмет
de olie	олія, нафта
bewust	свідомий, свідомо
de bemanning	екіпаж
tellen	рахувати
groeten	вітати
de maag	шлунок
beantwoorden	відповідати на
wandelen	гуляти пішки
de waarschuwing	попередження
de kist	скриня, ящик
de training	тренування
de race	перегони
het gedeelte	частина
wassen	мити, прати
ophangen	вішати; покласти слухавку
de douche	душ
reageren	реагувати
het oor	вухо
wedden	закладатися
meedoen	брати участь
de winst	прибуток, виграш
gereed	готовий
de middag	полудень, обід
het lijf	тіло
onthouden	запам'ятовувати
daarop	після цього
de identiteit	особа, ідентичність
de crimineel	злочинець
openbaar	публічний, громадський
verpesten	зіпсувати
de bewaker	охоронець
letten	звертати увагу
de explosie	вибух
indrukwekkend	вражаючий
plotseling	раптово
ingewikkeld	складний, заплутаний
het lied	пісня
het besef	усвідомлення
de spiegel	дзеркало
onlangs	нещодавно
de stand	положення; рахунок
de woestijn	пустеля
gedwongen	вимушений
gezellig	затишний, приємний
lunchen	обідати
het seizoen	сезон
de pagina	сторінка
de vlieg	муха
de bril	окуляри
spannend	захопливий, напружений
de mensheid	людство
botten	стикатися
de herinnering	спогад
de pop	лялька
verschuldigd	винний (борг)
zielig	жалюгідний, нещасний
de hal	хол, зал
letterlijk	буквально
walgelijk	огидний
smerig	брудний
verwijderen	видаляти
uitzien	виглядати; чекати з нетерпінням
het lef	сміливість, зухвалість
ontslaan	звільняти (з роботи)
verzamelen	збирати
de jongeman	юнак
het huiswerk	домашнє завдання
verontschuldigen	вибачати(ся)
lelijk	потворний
verbaasd	здивований
het vuil	бруд
ondertussen	тим часом
de leest	колодка (шевська)
verplaatsen	переміщати
starten	починати, запускати
de scheiding	розлучення; розділення
snijden	різати
het touw	мотузка
de ellende	біда, злидні
klagen	скаржитися
zacht	м'який
de aap	мавпа
dringend	терміновий
teruggaan	повертатися
eisen	вимагати
veroordeeld	засуджений
neerschieten	застрелити
de vloek	прокляття
de rand	край, обід
de tel	лік, рахунок
romantisch	романтичний
middelen	усереднювати
leveren	постачати
het hof	двір (королівський); суд
de schaduw	тінь
het kasteel	замок (будівля)
branden	горіти
het resultaat	результат
constant	постійний
wanhopig	відчайдушний
waardeloos	нікчемний, непотрібний
merken	помічати; позначати
ongerust	стривожений
de fiets	велосипед
opruimen	прибирати
de overeenkomst	схожість; угода
het schilderij	картина
het brein	мозок
vervolgens	потім, далі
de fabriek	фабрика, завод
geschikt	придатний, відповідний
ontspannen	розслаблятися
het apparaat	пристрій, апарат
storen	заважати, турбувати
handelen	діяти; торгувати
dwingen	змушувати
de slang	змія; шланг
de student	студент
opdagen	з'явитися
volkomen	цілковитий, повністю
de duisternis	темрява
de schouder	плече
dwaas	дурний, безглуздий
verdrietig	сумний
het bereik	досяжність, радіус
de spion	шпигун
de wond	рана
de campagne	кампанія
de dinsdag	вівторок
de lever	печінка
de verbinding	з'єднання, зв'язок
het dek	палуба
meegaan	іти разом
nieuwsgierig	цікавий, допитливий
helder	ясний, світлий
omlaag	вниз
het oosten	схід
namelijk	а саме, адже
overeen	узгоджено
kanten	мереживний
het gewicht	вага
bedrijven	чинити, займатися
het geschenk	подарунок
negeren	ігнорувати
de sneeuw	сніг
het zand	пісок
de illegaal	нелегал
voort	далі, вперед
het varken	свиня
prettig	приємний
de donderdag	четвер
het hout	деревина
sindsdien	відтоді
de vaste	постійний
de truc	трюк, хитрість
wegen	важити
planten	садити
de pen	ручка; перо
de aanwezigheid	присутність
de stemming	настрій
gericht	спрямований
duwen	штовхати
de tip	порада; кінчик
opeten	з'їсти
dapper	хоробрий
concentreren	зосереджуватися
beschikbaar	доступний
bezorgen	доставляти
het hek	паркан, огорожа
on	не-, без-
achterna	услід, за
de golf	хвиля; гольф
het café	кафе
de suiker	цукор
gevoelig	чутливий
het gras	трава
filmen	знімати на відео
de tunnel	тунель
verstandig	розумний, розважливий
de organisatie	організація
voorgoed	назавжди
meekomen	іти разом
doorbrengen	проводити (час)
puur	чистий
het interview	інтерв'ю
het middel	засіб; талія
de geboorte	народження
het podium	сцена, подіум
het effect	ефект
veroorzaken	спричиняти
de bibliotheek	бібліотека
de schrijver	письменник
beloven	обіцяти
identificeren	ідентифікувати
de hut	хатина, каюта
volgend	наступний
gecontroleerd	перевірений, контрольований
beroemd	відомий, знаменитий
het masker	маска
scherp	гострий
trainen	тренувати
de kampioen	чемпіон
de oproep	заклик; виклик
veroorloven	дозволяти собі
de helikopter	вертоліт
vies	брудний
uitgaan	виходити; гуляти
de bruid	наречена
de benzine	бензин
de keizer	імператор
voeden	годувати
het gif	отрута
de uitnodiging	запрошення
de ketting	ланцюг
schitterend	блискучий, чудовий
de zekerheid	упевненість, гарантія
de kliniek	клініка
het museum	музей
bevrijden	звільняти
de ramen	рамен (локшина)
de rechtszaak	судова справа
de kopie	копія
feesten	святкувати
de rommel	мотлох, безлад
live	наживо
roze	рожевий
flauw	прісний; нудний
gewoonlijk	зазвичай
de grootvader	дідусь
de voorzitter	голова (зборів)
de bodem	дно, ґрунт
repareren	ремонтувати
bewusteloos	непритомний
herkennen	упізнавати
de behoefte	потреба
de oorzaak	причина
de centrale	центр; електростанція
danken	дякувати
de rat	щур
weglopen	тікати, іти геть
medisch	медичний
de gelegenheid	нагода, можливість
grenzen	межувати
de bijeenkomst	зібрання, зустріч
de uitdaging	виклик
onderhandelen	вести переговори
overvallen	напасти, пограбувати
triest	сумний, жалюгідний
slagen	досягти успіху, скласти іспит
het kruis	хрест
technisch	технічний
het ogenblik	мить, момент
droog	сухий
excuseren	вибачати
het kleed	покривало, сукня
de maaltijd	прийом їжі, трапеза
het vuren	ялинова деревина
de fantasie	фантазія, уява
aanpakken	братися за, узятися
afhandelen	залагодити, оформити
de bijbel	біблія
de studie	навчання, дослідження
het schema	схема, графік
het vers	вірш, строфа
overnemen	переймати, брати на себе
waarderen	цінувати
tranen	сльозитися
groots	величний, грандіозний
boeten	розплачуватися
de staart	хвіст
ondervragen	допитувати
tijdelijk	тимчасовий
klinken	звучати
morgenavond	завтра ввечері
de aanslag	замах, теракт
de proef	проба, іспит
ontstaan	виникати
kennelijk	очевидно
de soep	суп
het oordeel	судження, вирок
de bloeddruk	кров'яний тиск
vijfde	п'ятий
pijnlijk	болючий
blazen	дути
het bot	кістка
het ei	яйце
de tekst	текст
de scène	сцена
het uitzicht	краєвид, вид
de vooruitgang	прогрес
de mei	травень
dodelijk	смертельний
bestellen	замовляти
plassen	мочитися
de affaire	справа, роман (стосунки)
verzinnen	вигадувати
het vat	бочка, ємність
verspreiden	поширювати
vullen	наповнювати
het vermogen	здатність; статок
de realiteit	реальність
doodgaan	помирати
telkens	щоразу
overstuur	засмучений, схвильований
de dominee	пастор
bekennen	зізнаватися
verdwaald	заблуканий
wetten	гострити
zenuwachtig	знервований
het koninkrijk	королівство
uitvoeren	виконувати
de vrachtwagen	вантажівка
de tank	бак; танк
vanzelf	само собою
verbranden	спалювати
onbekend	невідомий
het theater	театр
de koorts	гарячка, температура
de ingang	вхід
stabiel	стабільний
het noodgeval	надзвичайний випадок
de datum	дата
correct	правильний
de nood	біда, скрута
de woning	житло, помешкання
wonden	ранити
afdrukken	друкувати
het netwerk	мережа
de periode	період
doorlopen	проходити наскрізь
de achtergrond	фон, тло
dubbel	подвійний
het kerstfeest	Різдво
hartstikke	дуже, страшенно
de schuur	сарай, комора
de achterkant	зворотний бік
schudden	трясти, трусити
kwetsen	ображати, ранити
de arrestatie	арешт
de communicatie	спілкування, комунікація
uitmaken	мати значення; розлучитися
allang	уже давно
trappen	наступати, копати
langskomen	заходити, проїжджати повз
de daad	вчинок, дія
de knop	кнопка; ручка
bevriend	дружній, у дружбі
geraken	потрапляти, досягати
creëren	створювати
doodsbang	до смерті наляканий
de casino	казино
afschuwelijk	жахливий, огидний
de diefstal	крадіжка
de legende	легенда
de grot	печера
proeven	куштувати
grijpen	хапати
oppakken	підбирати; затримати
terugtrekken	відступати, відкликати
zoenen	цілуватися
de toren	вежа
het eigendom	власність
verplicht	обов'язковий
de zieke	хворий
voorbereiden	готувати, підготувати
loslaten	відпускати
de portemonnee	гаманець
het gebrek	нестача, брак
ruilen	обмінювати
aantrekkelijk	привабливий
riskeren	ризикувати
weghalen	прибирати, забирати
de passie	пристрасть
de kandidaat	кандидат
de serie	серія, серіал
voorzien	забезпечувати, передбачати
de rit	поїздка
de discussie	дискусія
het medicijn	ліки
de televisie	телебачення
het ministerie	міністерство
krankzinnig	божевільний
populair	популярний
de verzekering	страхування
de koelkast	холодильник
de pest	чума
overgeven	передавати; блювати
het nut	користь, сенс
de euro	євро
het incident	інцидент
het commentaar	коментар
ervaren	відчувати, переживати
doorzoeken	обшукувати
het vak	предмет; відділення
de dorst	спрага
de koe	корова
tenslotte	зрештою, врешті
vandaar	звідси, тому
de titel	назва, титул
de privacy	приватність
het heelal	всесвіт
verspillen	марнувати
het speelgoed	іграшки
de tape	стрічка, скотч
het bewustzijn	свідомість
de vlag	прапор
rollen	котити, котитися
gespannen	напружений
terugkeren	повертатися
de crisis	криза
de zoektocht	пошуки
emotioneel	емоційний
de overkant	протилежний бік
de premier	прем'єр-міністр
de greep	хватка, захват
rechtstreeks	прямий, безпосередньо
weigeren	відмовлятися
het avontuur	пригода
tevoorschijn	назовні, на видноті
de roman	роман (книга)
de glimlach	усмішка
goedkoop	дешевий
strak	туго, натягнутий
de spanning	напруга, напруження
het karakter	характер
lessen	угамовувати (спрагу)
het college	лекція; колегія
verlegen	сором'язливий
toestaan	дозволяти
het paspoort	паспорт
apart	окремий
de oudste	найстарший
uitschakelen	вимикати
het voertuig	транспортний засіб
de link	посилання
de agenda	щоденник, порядок денний
de nazi	нацист
de chirurg	хірург
de robot	робот
nuttig	корисний
de uitslag	результат
het zout	сіль
het afval	сміття, відходи
de temperatuur	температура
ongelukkig	нещасний, невдалий
het tijdstip	момент часу
drukken	тиснути, натискати
snappen	розуміти, доганяти
de betekenis	значення
de aard	вдача, характер
het gevolg	наслідок
moedig	хоробрий
de woensdag	середа
handig	зручний, вправний
de journalist	журналіст
wennen	звикати
de ambassadeur	посол
de acteur	актор
geslaagd	успішний, вдалий
schoonmaken	прибирати, чистити
de snelweg	автомагістраль
het plastic	пластик
het experiment	експеримент
