toegankelijk	доступний
vellen	валити, зрубувати
voortvluchtig	у розшуку, збіглий
uitsteken	стирчати, вирізнятися
vreemdgaan	зраджувати
strippen	роздягати; знімати шар
onvoorwaardelijk	безумовний
de kachel	піч, обігрівач
gebaren	жестикулювати
omzetten	перетворювати, обертати
zonnig	сонячний
de printer	принтер
parttime	на неповну ставку
de optocht	хода, процесія
soft	м'який
verslinden	пожирати
de huiskamer	вітальня
opzeggen	розривати договір; проказувати напам'ять
meedelen	повідомляти
de ijstijd	льодовиковий період
verfijnd	вишуканий, витончений
het journaal	випуск новин
vereffenen	вирівнювати, розраховуватися
aansprakelijk	відповідальний (юридично)
stopzetten	припиняти
neutraliseren	нейтралізувати
de vervuiling	забруднення
verstoten	відрікатися, виганяти
eigenhandig	власноруч
plastisch	пластичний
de os	віл
de eik	дуб
onlogisch	нелогічний
krullen	кучерявитися, завивати
levensgevaarlijk	смертельно небезпечний
pijnloos	безболісний
weren	не допускати, стримувати
de spreker	промовець, доповідач
prikkelbaar	дратівливий
opwinden	заводити (механізм); збуджувати
omdoen	надягати, накидати
de deurbel	дверний дзвінок
uitbuiten	експлуатувати
achterhouden	приховувати, утаювати
de schommel	гойдалка
accuraat	точний
uithouden	витримувати
aandachtig	уважний
breekbaar	крихкий
ronduit	відверто, прямо
legen	спорожняти
de verspreiding	поширення
afwassen	мити посуд
behalen	досягати, здобувати
delicaat	делікатний, тонкий
signeren	підписувати (автограф)
hoopvol	сповнений надії
afbetalen	виплачувати, погашати
smullen	ласувати, смакувати
twijfelachtig	сумнівний
de tsaar	цар
linkshandig	лівша
het erf	подвір'я
wegrotten	згнивати
de databank	база даних
afslachten	різати, влаштовувати різанину
het communisme	комунізм
het parkeerterrein	автостоянка
eveneens	також, так само
aangeboren	вроджений
langsgaan	заходити в гості
markeren	позначати
de kraai	ворона
onnatuurlijk	неприродний
roeren	мішати, помішувати
het sinaasappelsap	апельсиновий сік
de uitgave	видання; видаток
uitschrijven	виписувати; скасовувати підписку
bezuinigen	економити, скорочувати витрати
het etiket	етикетка
bazig	владний, командирський
kwijlen	пускати слину
koperen	мідний
de heldin	героїня
basketballen	грати в баскетбол
vergoeden	відшкодовувати
injecteren	вводити ін'єкцію
achterwege	осторонь, невиконаний
overplaatsen	переводити (на інше місце)
ontrafelen	розплутувати
doorgaans	зазвичай
verwijzen	відсилати, скеровувати
teder	ніжний
uitwissen	стирати, витравлювати
de catastrofe	катастрофа
de bok	цап, козел
ongekend	небачений, безпрецедентний
treuren	журитися, тужити
indenken	уявляти собі
aaien	гладити, пестити
de sinaasappel	апельсин
logen	вилуговувати
de octopus	восьминіг
crashen	розбиватися; зависати (про програму)
dopen	умочати; хрестити
herbouwen	відбудовувати
brandschoon	бездоганно чистий
de voortgang	поступ, просування
snoeren	шнурувати, зв'язувати
zelfingenomen	самовдоволений
besmetten	заражати
sappig	соковитий
vergaren	збирати, накопичувати
pinnen	платити карткою
naderhand	згодом
ditmaal	цього разу
inschatten	оцінювати, прикидати
de meloen	диня
het merendeel	більшість, більша частина
doodziek	смертельно хворий
gierig	скупий, жадібний
temmen	приборкувати
het manifest	маніфест
kietelen	лоскотати
reconstrueren	відтворювати, реконструювати
dichten	закривати; складати вірші
vastmaken	закріплювати, застібати
het slachthuis	бійня
onmenselijk	нелюдський
uploaden	завантажувати на сервер
het gejuich	вигуки радості, овації
de afkorting	скорочення
de verovering	завоювання
radeloos	розгублений, у розпачі
verzwakken	слабшати, послаблювати
het kerstcadeau	різдвяний подарунок
herleven	оживати, відроджуватися
verrekt	клятий, до біса
de weegschaal	ваги
toespreken	звертатися з промовою
ongezond	нездоровий
het noordwesten	північний захід
uitslapen	висипатися
thuisblijven	залишатися вдома
psychotisch	психотичний
doorverbinden	з'єднувати (по телефону)
de mug	комар
toebrengen	завдавати
de aanrecht	кухонна стільниця
bepraten	обговорювати, умовляти
vonken	іскрити
opdoen	набувати, здобувати
opwachten	чатувати, чекати
berechten	судити
smeden	кувати
opdringerig	настирливий, нав'язливий
de tijdbom	бомба сповільненої дії
de wezel	ласка (тварина)
opstappen	піти, подати у відставку
achterblijven	відставати, залишатися
de subsidie	субсидія
het tegengestelde	протилежне
de hoofdprijs	головний приз
maaien	косити
incasseren	інкасувати, отримувати
de hoofdingang	головний вхід
bijbrengen	прищеплювати, навчати
aanzitten	сідати за стіл
verschuiven	зсувати, переносити
gehuwd	одружений
het schooljaar	навчальний рік
legitiem	легітимний
heldhaftig	героїчний
begaafd	обдарований
aldus	отже, таким чином
struikelen	спотикатися
meevallen	виявитися кращим, ніж очікували
spreiden	розстеляти, розподіляти
meehelpen	допомагати
schrobben	відшкрябувати, драїти
topless	топлес
het bestek	столові прибори
allicht	мабуть, звісно
de perzik	персик
de tandenfee	зубна фея
minderen	зменшувати
bekendmaken	оголошувати
stoken	топити, розпалювати
wonderlijk	дивовижний
respectvol	шанобливий
het gezang	спів
schillen	чистити (шкірку)
intuberen	інтубувати
de noodtoestand	надзвичайний стан
schitteren	блищати, сяяти
de gepensioneerde	пенсіонер
toevertrouwen	довіряти
verwittigen	сповіщати
waarlijk	воістину
het christendom	християнство
berijden	їздити верхи
middelbaar	середній
wijten	приписувати провину
neersteken	заколоти
labiel	нестійкий, лабільний
reëel	реальний
statistisch	статистичний
nalaten	залишати у спадок; занедбувати
de harp	арфа
slijten	зношуватися
coachen	тренувати, наставляти
de steiger	причал; риштування
oververhit	перегрітий
tuinieren	садівникувати
geruststellen	заспокоювати
verkiesbaar	той, що може бути обраним
strelen	пестити, гладити
vurig	палкий, полум'яний
de holocaust	голокост
wekelijks	щотижневий
vervloeken	проклинати
verkeren	перебувати (у стані)
vegetarisch	вегетаріанський
samenleven	жити разом
ongeldig	недійсний
dorstig	спраглий
poëtisch	поетичний
de berekening	обчислення, розрахунок
verkiezen	віддавати перевагу; обирати
preuts	манірний, святенницький
figuurlijk	переносний, фігуральний
de kerncentrale	атомна електростанція
monitoren	відстежувати
bevorderen	сприяти, просувати
villen	білувати, здирати шкуру
verslapen	проспати
onbegrijpelijk	незбагненний
overgeleverd	переданий у спадок
razendsnel	блискавичний
afzuigen	відсмоктувати
de abt	абат
roestig	іржавий
de factuur	рахунок-фактура
dertiende	тринадцятий
cultureel	культурний
verifiëren	перевіряти, верифікувати
aftreden	іти у відставку
smijten	жбурляти
aflossen	змінювати (на посту); погашати борг
symbolisch	символічний
de prognose	прогноз
bijgelovig	забобонний
ondenkbaar	немислимий
plaatselijk	місцевий
permitteren	дозволяти
verhit	розпашілий, розпалений
gevreesd	страшний, якого бояться
uitladen	розвантажувати
de natuurkundige	фізик
normaliter	зазвичай
afgrijselijk	жахливий, огидний
tam	свійський, приручений
inchecken	реєструватися (на рейс)
kunstmatig	штучний
ontleden	розбирати, аналізувати
aantreffen	натрапляти, заставати
immoreel	аморальний
klinisch	клінічний
onvruchtbaar	безплідний
openhartig	відвертий, щиросердий
royaal	щедрий
belemmeren	перешкоджати
schrapen	шкребти
de bedelaar	жебрак
rolschaatsen	кататися на роликах
de achterbak	багажник
aanvechten	оскаржувати
ordinair	вульгарний, простацький
berucht	сумнозвісний
genadeloos	нещадний
doorzichtig	прозорий
de geboorteplaats	місце народження
verwerpen	відкидати, відхиляти
onverschrokken	безстрашний
het dienblad	таця
anderzijds	з іншого боку
werkzaam	чинний, працездатний
de diplomatie	дипломатія
opgetogen	захоплений, у захваті
vernieuwen	оновлювати
de tram	трамвай
de peer	груша
interpreteren	тлумачити
flitsen	спалахувати
mixen	змішувати
sleuren	тягти, волочити
de folder	буклет, листівка
de deelname	участь
artistiek	мистецький
betonnen	бетонний
voorbijgaan	минати
vitaal	життєво важливий, бадьорий
het reservoir	резервуар
het certificaat	сертифікат
gretig	охочий, жадібний
mak	лагідний, ручний
massaal	масовий
de mango	манго
commercieel	комерційний
coördineren	координувати
detecteren	виявляти
elfde	одинадцятий
de lezer	читач
oostwaarts	на схід
kleppen	торохтіти, ляскати
verachtelijk	зневажливий, ниций
aankopen	купувати, закуповувати
onaangekondigd	неоголошений
inrichten	облаштовувати
ondiep	мілкий
de lawine	лавина
roosteren	смажити, підсмажувати
muzikaal	музичний
vulgair	вульгарний
experimenteel	експериментальний
landelijk	загальнонаціональний; сільський
grillen	смажити на грилі
de populariteit	популярність
ontsteken	запалювати; займатися
de bewering	твердження
onvoorzichtig	необережний
onthoofden	обезголовлювати
uitdagend	зухвалий, викличний
kicken	кайфувати
het sterrenbeeld	сузір'я
programmeren	програмувати
de eregast	почесний гість
zorgzaam	турботливий
chaotisch	хаотичний
knikken	кивати
stuiten	зупиняти, натрапляти
het atoom	атом
de fundering	фундамент
uitgebracht	випущений
doorsturen	пересилати
aangeschoten	напідпитку
scharen	шикувати, згуртовувати
de navelstreng	пуповина
gezind	налаштований, схильний
de kelner	офіціант
de peiling	вимір, опитування
onverschillig	байдужий
settelen	осідати, влаштовуватися
stampen	тупотіти, товкти
de cinema	кінотеатр
vluchtig	побіжний, летючий
springlevend	живий-здоровий
kibbelen	сперечатися, гризтися
onethisch	неетичний
inslapen	засинати
vriezen	морозити
het spits	вістря, шпиль
beteren	поліпшуватися
onregelmatig	нерегулярний, неправильний
steil	крутий
overschrijden	перевищувати, переступати
de achterstand	відставання
het klaslokaal	класна кімната
ontbinden	розкладати; розпускати
doodbloeden	стікати кров'ю
oprukken	наступати, просуватися
de excursie	екскурсія
verwezenlijken	утілювати, здійснювати
leegmaken	спорожняти
gespierd	м'язистий
de pianist	піаніст
stapelen	складати в стос
het ecosysteem	екосистема
ergeren	дратувати
lonen	бути вигідним, окупатися
de postzegel	поштова марка
overhaasten	квапитися
gepaard	парний, у парі
het kapitalisme	капіталізм
de kraam	ятка, кіоск
niezen	чхати
excentriek	ексцентричний
aanvaardbaar	прийнятний
imiteren	імітувати
faxen	надсилати факс
de kers	вишня
ouderlijk	батьківський
mechanisch	механічний
de verdeling	розподіл
de gletsjer	льодовик
onherkenbaar	невпізнанний
het toppunt	вершина, верх
blozen	червоніти
uitvallen	випадати; виходити з ладу
rusteloos	неспокійний
bezien	розглядати
overdenken	обмірковувати
domineren	домінувати
spuugzat	ситий по горло
informeel	неформальний
de keeper	воротар
afhangen	залежати
afvegen	витирати
schuren	терти, шурувати
schaamteloos	безсоромний
traumatisch	травматичний
de gevoeligheid	чутливість
fanatiek	фанатичний
oprichten	засновувати; зводити
ranzig	згірклий, бридкий
het zeewater	морська вода
de wasserij	пральня
pasgeboren	новонароджений
tegenwerken	протидіяти
blootstellen	піддавати впливу
bronzen	бронзовий
non-stop	безперервний
verschoven	зсунутий
krom	кривий, зігнутий
vastzetten	закріплювати; ув'язнювати
de rups	гусениця
ontgaan	вислизати, лишатися непоміченим
economisch	економічний
irrationeel	ірраціональний
verkleinen	зменшувати
de dop	шкаралупа; ковпачок
werkeloos	бездіяльний, безробітний
bekaf	геть знесилений
overblijven	залишатися
sterfelijk	смертний
onwel	зле, недобре (про самопочуття)
de voortuin	палісадник
hoofdzakelijk	головним чином
bezatten	напиватися
schandelijk	ганебний
opblijven	не лягати спати
presteren	досягати, показувати результат
vouwen	складати, згортати
absorberen	поглинати
bijvullen	доливати, поповнювати
vereren	шанувати, поклонятися
onafscheidelijk	нерозлучний
het geschil	суперечка, спір
behekst	зачарований
productief	продуктивний
opvliegend	запальний, вибуховий
zowaar	справді, аж
weerleggen	спростовувати
het dansfeest	танцювальна вечірка
de trommel	барабан
belasten	обтяжувати, оподатковувати
wegwerken	усувати, ліквідовувати
hoogstwaarschijnlijk	найімовірніше
democratisch	демократичний
barbaars	варварський
uitademen	видихати
braden	смажити, запікати
bekritiseren	критикувати
geblinddoekt	із зав'язаними очима
vermenigvuldigen	множити
het slijk	баговиння, грязюка
melken	доїти
de bescheidenheid	скромність
louche	підозрілий, темний
relaxed	розслаблений
pruimen	жувати тютюн
bekomen	оговтуватися
vervangbaar	замінний
instinctief	інстинктивний
afgezonderd	відокремлений, усамітнений
sip	засмучений, похнюплений
transporteren	транспортувати
treuzelen	баритися, длятися
verkondigen	проголошувати
jammeren	лементувати, скиглити
de oerknal	великий вибух
gewoontjes	звичайненько
het kurk	корок
getogen	вихований, зрощений
neerslaan	збивати з ніг; осідати
onbewoond	безлюдний, ненаселений
de leerkracht	педагог, учитель
incompetent	некомпетентний
klemmen	затискати
de dweil	ганчірка для підлоги
blindelings	наосліп
opdragen	доручати, присвячувати
onbeperkt	необмежений
verstrekken	надавати, постачати
daarzo	отам
terugwinnen	відвойовувати, повертати
steriel	стерильний
gedijen	процвітати, розвиватися
verslavend	той, що викликає залежність
bespringen	накидатися, стрибати на
weiden	пасти
voortplanten	розмножуватися
bundelen	об'єднувати, збирати докупи
fier	гордий
de archeoloog	археолог
de radiator	радіатор
mailen	писати електронного листа
openstaan	бути відкритим
fantaseren	фантазувати
gevorderd	просунутий, поглиблений
luchtig	легкий, повітряний
komisch	комічний
overzien	оглядати, охоплювати поглядом
defensief	оборонний
erfelijk	спадковий
horizontaal	горизонтальний
het kruid	трава, зілля
intrappen	вибивати ногою
de steward	стюард
verheugen	тішити, радувати
tasten	намацувати
navragen	розпитувати, довідуватися
ongewenst	небажаний
ontzeggen	відмовляти, позбавляти
verwarmen	нагрівати
grillig	примхливий, вибагливий
bedonderd	не при своєму розумі
aanvoeren	постачати; очолювати
doorboren	простромлювати
provoceren	провокувати
driekwart	три чверті
escorteren	супроводжувати, ескортувати
het toetsenbord	клавіатура
zestiende	шістнадцятий
onbezonnen	необачний, нерозважливий
beige	бежевий
sussen	заспокоювати, утихомирювати
nauwgezet	сумлінний, скрупульозний
motiveren	обґрунтовувати, мотивувати
strooien	посипати, розсипати
ondervinden	зазнавати, відчувати на собі
de spelling	правопис
het treinstation	залізничний вокзал
genereren	генерувати
de begroting	бюджет, кошторис
omsingelen	оточувати
de elektricien	електрик
hinderen	заважати, перешкоджати
bekvechten	сперечатися, гризтися
grandioos	грандіозний
rechtuit	прямо, відверто
de schots	крижина
rechtschapen	праведний, доброчесний
chill	спокійний, розслаблений
gebaard	бородатий
het doelpunt	гол
onpartijdig	неупереджений
reusachtig	велетенський
smoorverliefd	шалено закоханий
misdadig	злочинний
standhouden	вистояти, триматися
uitlokken	провокувати, спричиняти
printen	друкувати
diplomatiek	дипломатичний
de bloedsomloop	кровообіг
doorvertellen	переказувати далі
vermakelijk	кумедний, розважальний
ongehoord	нечуваний
aanrijden	збивати (автомобілем)
evolueren	еволюціонувати
weliswaar	щоправда
stroomopwaarts	проти течії
de piste	траса, арена
overmeesteren	долати, брати гору
het zuidoosten	південний схід
verzieken	отруювати, псувати
grootbrengen	виховувати, ростити
toenemen	зростати, збільшуватися
alleenstaand	самотній, неодружений
alleszins	цілком, у всякому разі
sorteren	сортувати
het weerbericht	прогноз погоди
spijten	бути прикро, шкодувати
smakeloos	несмачний; несмаковитий
afzonderlijk	окремий
chirurgisch	хірургічний
misdragen	погано поводитися
zodoende	отож, у такий спосіб
afgekeurd	забракований, відхилений
bespottelijk	смішний, безглуздий
harig	волохатий
navigeren	навігувати, орієнтуватися
waaien	віяти, дути
de optimist	оптиміст
kerngezond	цілком здоровий
wettig	законний
het interieur	інтер'єр
het volkslied	національний гімн
kakken	випорожнюватися
bewapenen	озброювати
de hik	гикавка
overmaken	переказувати (гроші)
gelijktijdig	одночасний
onaantastbaar	недоторканний
bewoond	населений, заселений
betasten	обмацувати
opengaan	відчинятися
onbekwaam	нездатний, некомпетентний
de kruik	глек
verhandelen	торгувати, збувати
depri	у депресії
piepklein	манюсінький
gedroogd	сушений
berouwen	каятися, шкодувати
onderhand	поступово, тим часом
olympisch	олімпійський
herdenken	вшановувати пам'ять
waargebeurd	заснований на реальних подіях
het wasgoed	білизна для прання
heimelijk	потайний
winstgevend	прибутковий
tappen	наливати з крана
spraakzaam	балакучий
het evenbeeld	точна подоба
beschieten	обстрілювати
verkrijgbaar	доступний, наявний у продажу
zelfgemaakt	саморобний
onverstandig	нерозважливий
valsspelen	шахраювати у грі
buitensporig	надмірний
najagen	гнатися, домагатися
de muil	паща, морда
hoogachtend	з повагою
de vaatwasser	посудомийна машина
suïcidaal	суїцидальний
dreigend	загрозливий
de oudheid	давнина, античність
de placenta	плацента
schriftelijk	письмовий
kapen	захоплювати, викрадати
anaal	анальний
amputeren	ампутувати
deftig	статечний, поважний
westwaarts	на захід
de geldautomaat	банкомат
beroepen	покликатися, апелювати
ontdooien	розморожувати
sneuvelen	загинути в бою
openbaren	відкривати, являти
platbranden	спалювати дотла
verdraaien	перекручувати, викривляти
optimaal	оптимальний
de evenaar	екватор
afremmen	пригальмовувати
bijwerken	оновлювати, доопрацьовувати
broeden	висиджувати
loodsen	проводити, лоцманувати
openbreken	зламувати, розкривати
regisseren	режисувати
achterbaks	підступний, потайний
de vasten	піст
verdiepen	поглиблювати
de weide	пасовище, лука
dampen	парувати, диміти
vergrijpen	зазіхати, чинити напад
bergafwaarts	під гору вниз
de kiosk	кіоск
verprutsen	зіпсувати, змарнувати
swingen	танцювати свінг
obsessief	нав'язливий
overstappen	пересідати, переходити
vergen	вимагати
mislopen	проґавити, розминутися
het voorgerecht	закуска
de valuta	валюта
belabberd	кепський, паскудний
almachtig	всемогутній
e-mailen	надсилати електронного листа
de boekwinkel	книгарня
kartonnen	картонний
hervatten	відновлювати, продовжувати
zwaargewond	тяжко поранений
het bamboe	бамбук
zeeziek	той, що страждає морською хворобою
morbide	хворобливий, моторошний
onberispelijk	бездоганний
de buschauffeur	водій автобуса
droppen	скидати, викидати
verlengd	подовжений
de schemering	сутінки
onwaardig	негідний
aftappen	зціджувати, прослуховувати
bewandelen	ходити, простувати
de haag	живопліт
systematisch	систематичний
definiëren	визначати
meermaals	неодноразово
gewillig	охочий, поступливий
tarten	кидати виклик, дражнити
het nijlpaard	бегемот
het gezwel	пухлина
de klank	звук
kleurrijk	барвистий
