vatten	схоплювати, розуміти
meespelen	грати разом, брати участь
de onderbreking	перерва, переривання
zonet	щойно
uitzenden	відправляти; транслювати
de komeet	комета
doorbreken	проривати, розламувати
veelbelovend	багатообіцяючий
weggeven	віддавати, дарувати
terugsturen	відсилати назад
innen	стягувати, інкасувати
wederom	знову
onderscheppen	перехоплювати
de opkomst	піднесення; явка
het kabinet	кабінет міністрів
joggen	бігати підтюпцем
verknallen	зіпсувати, змарнувати
de aanvoerder	капітан, ватажок
verkouden	застуджений
tanken	заправлятися
de schakelaar	вимикач
de bladzijde	сторінка
de zondebok	цап-відбувайло
hevig	сильний, інтенсивний
verdoven	заглушувати; знеболювати
opbiechten	зізнаватися
opdrinken	допивати
recentelijk	нещодавно
mislukken	зазнавати невдачі
zegenen	благословляти
de dageraad	світанок
de rits	блискавка (застібка)
nadien	згодом, після того
vanbinnen	зсередини
de farao	фараон
de muzikant	музикант
de brievenbus	поштова скринька
omhelzen	обіймати
belazeren	дурити, ошукувати
rinkelen	дзеленчати
oorspronkelijk	первісний, оригінальний
kieskeurig	вибагливий
optillen	піднімати
de elleboog	лікоть
reuze	чудовий, страшенно
onnozel	наївний, простакуватий
aanbidden	поклонятися, обожнювати
koninklijk	королівський
flippen	збіситися, зірватися
klaarstaan	бути напоготові
de doolhof	лабіринт
uitkleden	роздягати
rechtvaardigen	виправдовувати
beschamend	ганебний
ongelegen	невчасний, недоречний
de motivatie	мотивація
hemels	небесний
de gelijkenis	схожість; притча
beklimmen	підійматися, сходити
keurig	охайний, бездоганний
het kalf	теля
afkoelen	охолоджуватися
pauzeren	робити паузу
klonen	клонувати
de toepassing	застосування
desnoods	у разі потреби
het nadeel	недолік
het middelpunt	центр, осереддя
de minderheid	меншість
afblazen	скасовувати; здувати
saboteren	саботувати
het venster	вікно
glijden	ковзати
verlagen	знижувати
exploderen	вибухати
het cliché	кліше, штамп
nederig	смиренний, скромний
onderdrukken	пригнічувати, придушувати
opgraven	відкопувати
suggereren	натякати, пропонувати
de essentie	суть
levendig	жвавий
opvangen	ловити; приймати
ombrengen	убивати
rellen	бунтувати
de schoorsteen	димар
bevechten	боротися проти
het klif	круча, скеля
optrekken	підтягувати; рушати
de visser	рибалка
aandringen	наполягати
gehoorzaam	слухняний
opgaan	підійматися; справджуватися
isoleren	ізолювати
de spijker	цвях
morgenmiddag	завтра по обіді
pokeren	грати в покер
fluiten	свистіти
zelfstandig	самостійний
aanwijzen	вказувати, призначати
knokken	битися, махатися
verven	фарбувати
bevoegd	уповноважений, компетентний
de krokodil	крокодил
verbouwen	перебудовувати; вирощувати
kweken	вирощувати, розводити
ontwaken	прокидатися
bezighouden	займати, поглинати
spugen	плювати
de onafhankelijkheid	незалежність
kapotmaken	ламати
de islam	іслам
bijpraten	надолужувати новини
afwijzen	відхиляти, відмовляти
downloaden	завантажувати
lokaliseren	локалізувати, визначати місце
de regenboog	веселка
de badkuip	ванна
de opbrengst	виторг, урожайність
beheren	керувати, управляти
het ongemak	незручність
tevens	водночас, а також
relaxen	розслаблятися
hip	модний
zelfverzekerd	упевнений у собі
passend	доречний, відповідний
ontmaskeren	викривати
de vorst	володар, монарх; мороз
de afwas	брудний посуд
aanbevelen	рекомендувати
vochtig	вологий
opvallend	помітний, показний
de peper	перець
voorover	уперед, ниць
geheimzinnig	таємничий
terugvinden	знаходити знову
bedroefd	засмучений
eventueel	можливо, за потреби
assisteren	асистувати
dierbaar	дорогий, любий
dealen	торгувати наркотиками
pittig	гострий, пікантний
gewijd	присвячений
afsnijden	відрізати
theoretisch	теоретичний
terugnemen	забирати назад
verbieden	забороняти
skiën	кататися на лижах
de herberg	заїзд, корчма
inleveren	здавати
geldig	чинний, дійсний
overbrengen	передавати, переносити
knoeien	робити безлад, халтурити
de uil	сова
de wachtkamer	зала очікування
verdoezelen	затуманювати, приховувати
chemisch	хімічний
de som	сума
eenmalig	одноразовий
het schrift	письмо; зошит
de marathon	марафон
grotendeels	здебільшого
financieren	фінансувати
marcheren	марширувати
vergissen	помилятися
evenmin	так само не
amuseren	розважати
fotograferen	фотографувати
eergisteren	позавчора
roddelen	пліткувати
omgeven	оточувати
inschrijven	записувати, реєструвати
de brancard	ноші
belonen	винагороджувати
inslaan	розбивати; закуповувати
het monument	пам'ятник
botsen	зіштовхуватися
ontevreden	незадоволений
de ruit	ромб; шибка
buitenaf	ззовні
eervol	почесний
de eetkamer	їдальня
verdubbelen	подвоювати
religieus	релігійний
onverwachts	несподівано
aanspreken	звертатися
de etenstijd	час обіду
samenkomen	збиратися разом
onrustig	неспокійний
manen	нагадувати, закликати
solide	міцний, надійний
overdragen	передавати
neutraal	нейтральний
protesteren	протестувати
verwonden	ранити
waterdicht	водонепроникний
de haan	півень
introduceren	представляти, впроваджувати
de klei	глина
uitlachen	висміювати
versleten	зношений
spectaculair	видовищний
verklappen	видавати, розбовкувати
stranden	сідати на мілину, застрягати
de heerser	правитель
bemachtigen	роздобувати
de knoflook	часник
de uitverkoop	розпродаж
heffen	піднімати; стягувати (податок)
berekenen	обчислювати
zozeer	настільки
de slee	санчата
de wreedheid	жорстокість
aansteken	підпалювати, запалювати
binnengaan	заходити
wijken	відступати, поступатися
uitoefenen	здійснювати, чинити
onderdrukt	пригноблений
zuinig	ощадливий
soepel	гнучкий, плавний
de première	прем'єра
klikken	клацати
de kleuterschool	дитячий садок
vastleggen	закріплювати, фіксувати
kronen	коронувати
de kerker	підземелля, темниця
knettergek	геть божевільний
drogen	сушити
huiselijk	домашній, затишний
opladen	заряджати
het percentage	відсоток
intern	внутрішній
hypothetisch	гіпотетичний
kennismaken	знайомитися
de dansvloer	танцмайданчик
opgescheept	обтяжений, змушений мати справу
afkicken	позбуватися залежності
baden	купатися
afstuderen	закінчувати навчання
toeren	кататися, мандрувати
pasen	Великдень
getikt	схиблений
gelovig	віруючий
typen	друкувати (на клавіатурі)
de directie	дирекція
voetballen	грати у футбол
het tij	приплив і відплив
afslaan	відхиляти; повертати
goddelijk	божественний
het verloop	перебіг
herzien	переглядати
onaangenaam	неприємний
doodvallen	упасти мертвим
opbellen	дзвонити
opjagen	гнати, переслідувати
de vertaler	перекладач
uitdagen	кидати виклик
de gootsteen	раковина, мийка
glippen	вислизати
de wol	вовна
schrappen	викреслювати
gluren	підглядати
overlopen	переливатися; переходити на бік
noteren	записувати
stalken	переслідувати, стежити
knappen	тріскати, лопати
de verte	далечінь
doneren	жертвувати
rationeel	раціональний
aanzienlijk	значний
plunderen	грабувати
gerechtelijk	судовий
de doodskist	труна
de onderkant	низ, спід
waken	пильнувати, не спати
de omtrek	периметр; околиця
zuipen	пиячити
vloeibaar	рідкий
achten	вважати, поважати
zaaien	сіяти
gemengd	змішаний
de magnetron	мікрохвильова піч
inspirerend	надихаючий
uitlaten	випускати; вигулювати
genadig	милосердний
onredelijk	нерозумний, необґрунтований
de es	ясен
kruisen	перетинати, схрещувати
knielen	ставати на коліна
gezamenlijk	спільний
aankondigen	оголошувати
schetsen	накидати, змальовувати
schelden	лаятися, сваритися
afkomen	позбутися; наближатися
de nachtdienst	нічна зміна
het ravijn	яр, ущелина
het kapitaal	капітал, статок
tezamen	разом
het hooggerechtshof	верховний суд
de context	контекст
vermelden	згадувати, зазначати
ginder	он там
geestig	дотепний
bijstaan	допомагати, підтримувати
verschuilen	ховатися
inbeelden	уявляти собі
de schoonvader	тесть, свекор
de kerstboom	різдвяна ялинка
opvoeren	ставити (виставу); підвищувати
de operatiekamer	операційна
blanco	порожній, незаповнений
verpletteren	розчавлювати, трощити
verveeld	знуджений
sluw	хитрий, лукавий
aanrichten	заподіювати, чинити
de aardappel	картопля
afvuren	вистрілювати
blaffen	гавкати
verdrijven	проганяти, витісняти
het citaat	цитата
de aanbetaling	завдаток
overhaast	поспішно
vreedzaam	мирний
de atoombom	атомна бомба
impulsief	імпульсивний
de molen	млин
bijdehand	меткий, кмітливий
tevergeefs	марно
het terras	тераса
het aquarium	акваріум
maandenlang	місяцями
volslagen	цілковитий
de aankoop	покупка, придбання
de samenstelling	склад, будова
verhelpen	усувати, залагоджувати
racistisch	расистський
haaks	під прямим кутом
de wand	стіна, стінка
afstandelijk	відсторонений, холодний
het deksel	кришка
opvrolijken	підбадьорювати
urenlang	годинами
vloeien	текти, струменіти
minderjarig	неповнолітній
kopiëren	копіювати
de basisschool	початкова школа
het gips	гіпс
samengesteld	складений, складний
het maanlicht	місячне світло
de pion	пішак
de arbeid	праця
spenderen	витрачати
deelnemen	брати участь
reinigen	очищати
primitief	примітивний
het regenwoud	тропічний ліс
aftellen	відлічувати
juichen	радісно вигукувати
babysitten	няньчити дітей
zomers	літній
de mest	гній
verwisselen	міняти місцями, плутати
het vrachtschip	вантажне судно
de verpleegkundige	медсестра, медбрат
volop	удосталь, повною мірою
de bediening	обслуговування
ongevoelig	нечутливий, черствий
doormaken	переживати, проходити через
de antenne	антена
dagenlang	цілими днями
heiligen	освячувати
indirect	непрямий
aftrekken	віднімати; стягувати
slachten	забивати (худобу)
bruikbaar	придатний, зручний
preken	проповідувати
baren	народжувати
