het vuurwerk	феєрверк
de geneeskunde	медицина
opofferen	жертвувати
verkrijgen	здобувати, отримувати
definitief	остаточний
de planning	планування, розклад
rouwen	сумувати, оплакувати
het evenement	подія, захід
slap	млявий, слабкий
zijden	шовковий
onnodig	непотрібний
doodschieten	застрелити
lichamelijk	тілесний, фізичний
rukken	смикати, рвати
de lepel	ложка
de linkerkant	лівий бік
dalen	спускатися, знижуватися
de belangstelling	зацікавлення
het wisselgeld	решта (гроші)
de vulkaan	вулкан
beheerst	стриманий
uitbrengen	випускати; віддавати (голос)
vergezellen	супроводжувати
het wiel	колесо
kinderachtig	дитячий, інфантильний
het pand	будівля, приміщення
vrouwelijk	жіночий
de voorbereiding	підготовка
serveren	подавати (страву)
glimlachen	усміхатися
ontdoen	позбуватися
wederzijds	взаємний
focussen	зосереджуватися
gewenst	бажаний
opstijgen	підійматися, злітати
uitgebreid	розлогий, докладний
opmerkelijk	примітний, вартий уваги
smokkelen	контрабандою провозити
het luik	люк
de expeditie	експедиція
stromen	текти, струменіти
lanceren	запускати
opfrissen	освіжати
de bruidegom	наречений
zenden	надсилати
de ballon	повітряна куля
paraat	напоготові
plaatsvinden	відбуватися
de baarmoeder	матка
rechtdoor	прямо
voorwaardelijk	умовний
knijpen	щипати, стискати
het vel	шкіра; аркуш
het getal	число
ondersteunen	підтримувати
het zadel	сідло
het landschap	краєвид, ландшафт
krabben	дряпати, чухати
invullen	заповнювати
de namiddag	пообіддя
de kaars	свічка
de vuilnisbak	смітник
onvoorstelbaar	неймовірний
ellendig	жалюгідний, нещасний
vernederend	принизливий
wettelijk	законний
inhouden	містити; стримувати
terugbetalen	повертати гроші
het kauwgom	жувальна гумка
mysterieus	загадковий
spinnen	прясти; муркотіти
binnenvallen	вриватися, заскакувати
inhalen	наздоганяти; обганяти
adopteren	усиновлювати
goedkoper	дешевший
nauwkeurig	точний, ретельний
de verzameling	колекція, зібрання
mengen	змішувати
beschouwen	розглядати, вважати
de concentratie	концентрація
meebrengen	приносити з собою
de burgeroorlog	громадянська війна
roeien	веслувати
de slager	м'ясник
zalig	блаженний, розкішний
fit	у формі
geschift	схиблений, божевільний
opvolgen	успадковувати; виконувати
achtste	восьмий
de vork	виделка
de deadline	крайній термін
overdrijven	перебільшувати
wegrennen	утікати
het plein	площа
het hert	олень
de politicus	політик
heengaan	іти геть
treinen	їздити потягом
de kermis	ярмарок, атракціони
de letter	літера
de kerstavond	святвечір
minimaal	мінімальний
overigens	до речі, втім
vanzelfsprekend	само собою зрозуміло
de stropdas	краватка
de wortel	корінь; морква
de wei	сироватка; лука
de vakbond	профспілка
de literatuur	література
de oprit	під'їзд, з'їзд
betreden	ступати, входити
onvermijdelijk	неминучий
nobel	шляхетний
de loterij	лотерея
de steak	стейк
uithangen	вивішувати; вештатися
subtiel	тонкий, делікатний
voordoen	демонструвати; траплятися
de grondwet	конституція
enigszins	дещо, певною мірою
de provincie	провінція
neerzetten	ставити, опускати
de meerderheid	більшість
realistisch	реалістичний
de afstandsbediening	пульт дистанційного керування
de horizon	горизонт
overboord	за борт
het insect	комаха
rekken	розтягувати
de trofee	трофей
boren	свердлити
vervullen	виконувати, справджувати
thuiskomen	повертатися додому
nationaal	національний
tillen	піднімати
het gehoor	слух
de bezoeker	відвідувач
de genezing	зцілення, одужання
de parade	парад
liften	їхати автостопом
de rechterkant	правий бік
rapporteren	доповідати
de profeet	пророк
het matras	матрац
zuiveren	очищати
de verloving	заручини
spuiten	бризкати, впорскувати
de adelaar	орел
het vervolg	продовження
de haard	вогнище, камін
plukken	зривати, збирати
overslaan	пропускати
de oorsprong	походження, початок
hulpeloos	безпорадний
de zaklamp	ліхтарик
de psychologie	психологія
geestelijk	духовний, розумовий
het stadion	стадіон
hilarisch	дуже смішний
uitrusten	відпочивати; споряджати
verzoeken	просити, клопотати
vernederen	принижувати
de kraan	кран
verenigd	об'єднаний
het magazine	журнал
de spaghetti	спагеті
onbelangrijk	неважливий
de monteur	механік
versterken	зміцнювати, посилювати
de uitvinding	винахід
verdenken	підозрювати
de neiging	схильність, тенденція
afleveren	доставляти
ongebruikelijk	незвичний
offeren	жертвувати
ingrijpen	втручатися
heersen	панувати, правити
uitdoen	знімати, вимикати
gedeeltelijk	частковий
beeldschoon	неймовірно вродливий
presenteren	представляти
verkleden	перевдягатися
de banaan	банан
zogenaamd	так званий
versturen	надсилати
pompen	качати, накачувати
overmorgen	післязавтра
braken	блювати
vergiftigen	отруювати
de vlinder	метелик
angstaanjagend	жахливий, страхітливий
belanden	опинятися
de achterbank	заднє сидіння
modern	сучасний
ondersteboven	догори дриґом
de toets	клавіша, кнопка
de uitgever	видавець
de elite	еліта
repeteren	репетирувати, повторювати
vergroten	збільшувати
de wildernis	дика місцевість
wereldwijd	всесвітній
winters	зимовий
de postbode	листоноша
de veranda	веранда
surfen	серфити
de server	сервер
toeslaan	завдавати удару; захряснути
opwarmen	розігрівати
formeel	формальний
publiceren	публікувати
barsten	тріскатися, лопатися
de zonnebril	сонцезахисні окуляри
de rector	ректор
het vaderland	батьківщина
chanteren	шантажувати
het grondgebied	територія
weerhouden	стримувати
evengoed	так само добре
laf	боягузливий
afwezig	відсутній
medeplichtig	співучасний
verwijten	дорікати
kostbaar	коштовний, цінний
uitpakken	розпаковувати
verontrustend	тривожний
de suggestie	пропозиція, натяк
de bevoegdheid	повноваження
de definitie	визначення
somber	похмурий
het klimaat	клімат
klassiek	класичний
hierzo	ось тут
afrekenen	розраховуватися
aantonen	доводити, показувати
de boodschapper	посланець
onsterfelijk	безсмертний
liefhebben	любити
vergaan	гинути, зотлівати
onderwerpen	підкоряти
vloeken	лаятися, проклинати
uitsluiten	виключати
ongewapend	неозброєний
essentieel	істотний, найважливіший
stoten	штовхати, ударяти
de kapel	каплиця
besmettelijk	заразний
stormen	штормити, бушувати
het sprookje	казка
afronden	завершувати; округлювати
de rem	гальмо
opmaken	витрачати; складати
polsen	обережно розпитувати
de accu	акумулятор
de baai	затока
verminderen	зменшувати
de boterham	бутерброд
de inbreker	зломник
cruciaal	вирішальний
ruïneren	руйнувати, нищити
de trouwring	обручка
de gate	вихід на посадку
slopen	зносити, руйнувати
de auteur	автор
onbeschoft	грубий, нечемний
erkennen	визнавати
vijandig	ворожий
meerijden	їхати разом
ondergronds	підземний
de mand	кошик
het kompas	компас
plakken	клеїти
uittrekken	знімати, стягувати
het koor	хор
het verwijt	докір
meedogenloos	безжальний
verlenen	надавати
wurgen	душити
het element	елемент
trillen	тремтіти, вібрувати
de terugweg	дорога назад
juridisch	юридичний
onduidelijk	незрозумілий
spoorloos	безслідно
de noodzaak	необхідність
het portret	портрет
alsnog	усе ж таки, згодом
bespioneren	шпигувати за
bowlen	грати в боулінг
exclusief	ексклюзивний
vaststellen	установлювати, визначати
de deugd	чеснота
afluisteren	підслуховувати
de nederlaag	поразка
vertalen	перекладати
de picknick	пікнік
verleidelijk	спокусливий
koesteren	плекати, берегти
het stadhuis	ратуша
de eekhoorn	білка
de ambtenaar	чиновник, держслужбовець
de aankondiging	оголошення
scannen	сканувати
verlichten	освітлювати; полегшувати
onhandig	незграбний
wegsturen	відсилати геть
de loodgieter	сантехнік
goedkeuren	схвалювати
